epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
52,2000.78,0.14567,0.17872,0.12078,0.79055,0,0.99944,1,0.995,0.89229,0.99944,1,0.995,0.81104,0.46183,1.50518,0.17396,0.87134,0,0.000825332,0.000825332,0.000825332
53,2037.89,0.14432,0.17469,0.11808,0.78871,0,0.99996,1,0.995,0.89795,0.99996,1,0.995,0.80707,0.45569,1.49162,0.17066,0.86433,0,0.000808828,0.000808828,0.000808828
54,2075.35,0.13903,0.17186,0.11627,0.79009,0,0.99954,1,0.995,0.89636,0.99954,1,0.995,0.80618,0.44906,1.63294,0.17349,0.86553,0,0.000792325,0.000792325,0.000792325
55,2112.59,0.14085,0.17193,0.11555,0.78965,0,0.99676,1,0.995,0.899,0.99676,1,0.995,0.80648,0.43708,1.57424,0.16982,0.86005,0,0.000775822,0.000775822,0.000775822
56,2150.54,0.13737,0.16554,0.1162,0.79044,0,0.99946,0.99993,0.995,0.89421,0.99946,0.99993,0.995,0.80348,0.46407,1.67834,0.17713,0.87074,0,0.000759318,0.000759318,0.000759318
57,2187.96,0.13771,0.16834,0.11768,0.78908,0,0.99991,1,0.995,0.90017,0.99991,1,0.995,0.81008,0.44883,1.51873,0.17013,0.86483,0,0.000742815,0.000742815,0.000742815
58,2225.25,0.1337,0.1663,0.11065,0.7884,0,0.99793,1,0.995,0.89876,0.99793,1,0.995,0.80804,0.4482,1.47436,0.1698,0.8653,0,0.000726312,0.000726312,0.000726312
59,2262.77,0.13416,0.16678,0.11215,0.78769,0,0.99911,1,0.995,0.89718,0.99911,1,0.995,0.80532,0.45804,1.50978,0.17042,0.87055,0,0.000709809,0.000709809,0.000709809
60,2300.06,0.13246,0.15965,0.11275,0.78824,0,0.99838,0.99936,0.995,0.89628,0.99838,0.99936,0.995,0.80833,0.45569,1.61885,0.1739,0.8694,0,0.000693305,0.000693305,0.000693305
61,2337.63,0.12759,0.15445,0.10872,0.78945,0,0.9996,1,0.995,0.9002,0.9996,1,0.995,0.8085,0.45197,1.69009,0.17177,0.86667,0,0.000676802,0.000676802,0.000676802
62,2375.07,0.13047,0.15663,0.11024,0.78972,0,0.99996,1,0.995,0.89576,0.99996,1,0.995,0.80754,0.46264,1.64785,0.17193,0.8728,0,0.000660299,0.000660299,0.000660299
63,2412.4,0.12505,0.15095,0.10695,0.78838,0,0.99887,1,0.995,0.89431,0.99887,1,0.995,0.81062,0.46305,1.62866,0.17352,0.87333,0,0.000643795,0.000643795,0.000643795
64,2450,0.12559,0.15379,0.10825,0.78971,0,0.99952,0.99984,0.995,0.89773,0.99952,0.99984,0.995,0.80904,0.45947,1.65754,0.17143,0.87008,0,0.000627292,0.000627292,0.000627292
65,2487.33,0.12413,0.15407,0.10628,0.78821,0,0.99985,1,0.995,0.89994,0.99985,1,0.995,0.80909,0.45161,1.65395,0.16984,0.86474,0,0.000610789,0.000610789,0.000610789
66,2525.01,0.1203,0.14854,0.10435,0.78711,0,0.99645,0.99911,0.995,0.89672,0.99645,0.99911,0.995,0.80809,0.46009,1.59139,0.17721,0.87092,0,0.000594286,0.000594286,0.000594286
67,2562.91,0.12005,0.14654,0.10415,0.78761,0,0.99922,1,0.995,0.89453,0.99922,1,0.995,0.8092,0.46739,1.6342,0.17627,0.87193,0,0.000577782,0.000577782,0.000577782
68,2601.36,0.11995,0.14717,0.10229,0.78673,0,0.99969,0.99996,0.995,0.89871,0.99969,0.99996,0.995,0.81152,0.45271,1.66188,0.17088,0.86911,0,0.000561279,0.000561279,0.000561279
69,2639.02,0.11901,0.14414,0.10344,0.78701,0,0.98623,0.99758,0.99487,0.89945,0.98623,0.99758,0.99487,0.80666,0.45839,1.75357,0.18227,0.86813,0,0.000544776,0.000544776,0.000544776
70,2676.12,0.11866,0.14316,0.1024,0.787,0,0.9983,1,0.995,0.89947,0.9983,1,0.995,0.81208,0.4493,1.68813,0.1697,0.86626,0,0.000528272,0.000528272,0.000528272
71,2713.27,0.1177,0.14584,0.10172,0.78749,0,0.99983,1,0.995,0.89549,0.99983,1,0.995,0.80591,0.46776,1.61341,0.17168,0.87266,0,0.000511769,0.000511769,0.000511769
72,2751.06,0.11422,0.13952,0.09919,0.78834,0,0.99906,1,0.995,0.8955,0.99906,1,0.995,0.80326,0.46094,1.81622,0.17358,0.8751,0,0.000495266,0.000495266,0.000495266
73,2787.94,0.1124,0.13916,0.09833,0.78745,0,0.99839,1,0.995,0.90125,0.99839,1,0.995,0.81008,0.44682,1.68693,0.17061,0.86903,0,0.000478762,0.000478762,0.000478762
74,2824.96,0.11305,0.13656,0.09792,0.7864,0,0.99908,1,0.995,0.89697,0.99908,1,0.995,0.80773,0.4581,1.80281,0.17284,0.87501,0,0.000462259,0.000462259,0.000462259
75,2862.49,0.11284,0.13751,0.09889,0.78704,0,0.99973,0.99986,0.995,0.89958,0.99973,0.99986,0.995,0.80805,0.45942,1.65485,0.17135,0.87093,0,0.000445756,0.000445756,0.000445756
76,2899.78,0.10887,0.13381,0.09545,0.78656,0,0.99938,1,0.995,0.89849,0.99938,1,0.995,0.80704,0.46256,1.70758,0.1763,0.87328,0,0.000429253,0.000429253,0.000429253
